#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
64        	5         	ok              	1.4880000000e-03	2.9000000000e+02	7.7722912433e+16	3.7163893791e+16	5.6534168694e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	5         	ok              	1.3440000000e-03	2.9000000000e+02	7.0195745059e+16	3.3567387940e+16	5.6529662797e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	5         	ok              	1.2140000000e-03	2.9000000000e+02	6.3399945817e+16	3.0320542380e+16	5.6524284754e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	5         	ok              	1.0970000000e-03	2.9000000000e+02	5.7283287656e+16	2.7398381377e+16	5.6517921711e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	5         	ok              	9.9080000000e-04	2.9000000000e+02	5.1730811524e+16	2.4745958312e+16	5.6510372384e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	5         	ok              	8.9500000000e-04	2.9000000000e+02	4.6721668707e+16	2.2353282892e+16	5.6501527106e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	5         	ok              	8.0840000000e-04	2.9000000000e+02	4.2193193559e+16	2.0190384234e+16	5.6491221925e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	5         	ok              	7.3020000000e-04	2.9000000000e+02	3.8103642780e+16	1.8237281751e+16	5.6479331039e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	5         	ok              	6.5960000000e-04	2.9000000000e+02	3.4411280506e+16	1.6473994855e+16	5.6465745009e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	5         	ok              	5.9580000000e-04	2.9000000000e+02	3.1074375019e+16	1.4880542957e+16	5.6450368280e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	5         	ok              	5.3820000000e-04	2.9000000000e+02	2.8061656253e+16	1.3441940617e+16	5.6433174718e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	5         	ok              	4.8610000000e-04	2.9000000000e+02	2.5336621329e+16	1.2140704820e+16	5.6414137853e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	5         	ok              	4.3910000000e-04	2.9000000000e+02	2.2878451357e+16	1.0966845271e+16	5.6393371843e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	5         	ok              	3.9660000000e-04	2.9000000000e+02	2.0655855069e+16	9.9053765305e+15	5.6370948681e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	5         	ok              	3.5830000000e-04	2.9000000000e+02	1.8653214091e+16	8.9488058771e+15	5.6347122486e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	5         	ok              	3.2360000000e-04	2.9000000000e+02	1.6839204732e+16	8.0821478701e+15	5.6321983380e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	5         	ok              	2.9230000000e-04	2.9000000000e+02	1.5203397065e+16	7.3004073622e+15	5.6295891187e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
