# WL(nm)	 Flux(ergs/cm**2/s/nm)
63.400000	 5.86E+01
63.500000	 5.86E+01
63.600000	 5.86E+01
63.700000	 5.86E+01
63.800000	 5.86E+01
63.900000	 5.86E+01
64.000000	 5.86E+01
64.100000	 5.86E+01
64.200000	 5.86E+01
64.300000	 5.86E+01
64.400000	 5.86E+01
64.500000	 5.86E+01
64.600000	 5.86E+01
64.700000	 5.86E+01
64.800000	 5.86E+01
64.900000	 5.86E+01
65.000000	 5.86E+01
65.100000	 5.86E+01
65.200000	 5.86E+01
65.300000	 5.86E+01
65.400000	 5.86E+01
65.500000	 5.86E+01
65.600000	 5.86E+01
65.700000	 5.86E+01
65.800000	 5.86E+01
65.900000	 5.86E+01
66.000000	 5.86E+01
66.100000	 5.86E+01
66.200000	 5.86E+01
66.300000	 5.86E+01
66.400000	 5.86E+01
66.500000	 5.86E+01
66.600000	 5.86E+01
66.700000	 5.86E+01
66.800000	 5.86E+01
66.900000	 5.86E+01
67.000000	 5.86E+01
67.100000	 5.86E+01
67.200000	 5.86E+01
67.300000	 5.86E+01
67.400000	 5.86E+01
67.500000	 5.86E+01
67.600000	 5.86E+01
67.700000	 5.86E+01
67.800000	 5.86E+01
67.900000	 5.86E+01
68.000000	 5.86E+01
68.100000	 5.86E+01
68.200000	 5.86E+01
68.300000	 5.86E+01
68.400000	 5.86E+01
68.500000	 5.86E+01
68.600000	 5.86E+01
68.700000	 5.86E+01
68.800000	 5.86E+01
68.900000	 5.86E+01
69.000000	 5.86E+01
69.100000	 5.86E+01
69.200000	 5.86E+01
69.300000	 5.86E+01
69.400000	 5.86E+01
69.500000	 5.86E+01
69.600000	 5.86E+01
69.700000	 5.86E+01
69.800000	 5.86E+01
69.900000	 5.86E+01
70.000000	 6.33E+01
70.100000	 6.79E+01
70.200000	 6.79E+01
70.300000	 6.79E+01
70.400000	 6.79E+01
70.500000	 6.79E+01
70.600000	 6.79E+01
70.700000	 6.79E+01
70.800000	 6.79E+01
70.900000	 6.79E+01
71.000000	 6.79E+01
71.100000	 6.79E+01
71.200000	 6.79E+01
71.300000	 6.79E+01
71.400000	 6.79E+01
71.500000	 6.79E+01
71.600000	 6.79E+01
71.700000	 6.79E+01
71.800000	 6.79E+01
71.900000	 6.79E+01
72.000000	 6.79E+01
72.100000	 6.79E+01
72.200000	 6.79E+01
72.300000	 6.79E+01
72.400000	 6.79E+01
72.500000	 6.79E+01
72.600000	 6.79E+01
72.700000	 6.79E+01
72.800000	 6.79E+01
72.900000	 6.79E+01
73.000000	 6.79E+01
73.100000	 6.79E+01
73.200000	 6.79E+01
73.300000	 6.79E+01
73.400000	 6.79E+01
73.500000	 6.79E+01
73.600000	 6.79E+01
73.700000	 6.79E+01
73.800000	 6.79E+01
73.900000	 6.79E+01
74.000000	 6.79E+01
74.100000	 6.79E+01
74.200000	 6.79E+01
74.300000	 6.79E+01
74.400000	 6.79E+01
74.500000	 6.79E+01
74.600000	 6.79E+01
74.700000	 6.79E+01
74.800000	 6.79E+01
74.900000	 6.79E+01
75.000000	 6.79E+01
75.100000	 6.79E+01
75.200000	 6.79E+01
75.300000	 6.79E+01
75.400000	 6.79E+01
75.500000	 6.79E+01
75.600000	 6.79E+01
75.700000	 6.79E+01
75.800000	 6.79E+01
75.900000	 6.79E+01
76.000000	 6.79E+01
76.100000	 6.79E+01
76.200000	 6.79E+01
76.300000	 6.79E+01
76.400000	 6.79E+01
76.500000	 6.79E+01
76.600000	 6.79E+01
76.700000	 6.79E+01
76.800000	 6.79E+01
76.900000	 6.79E+01
77.000000	 6.79E+01
77.100000	 6.79E+01
77.200000	 6.79E+01
77.300000	 6.79E+01
77.400000	 6.79E+01
77.500000	 6.79E+01
77.600000	 6.79E+01
77.700000	 6.79E+01
77.800000	 6.79E+01
