# WL(nm)	 Flux(ergs/cm**2/s/nm)
42.549944	 1.04E+02
42.649944	 1.04E+02
42.749944	 1.04E+02
42.849944	 1.04E+02
42.949944	 1.04E+02
43.049944	 1.04E+02
43.149944	 1.04E+02
43.249944	 1.04E+02
43.349944	 1.04E+02
43.449944	 1.04E+02
43.549944	 1.04E+02
43.649944	 1.04E+02
43.749944	 1.04E+02
43.849944	 1.04E+02
43.949944	 1.04E+02
44.049944	 1.04E+02
44.149944	 1.04E+02
44.249944	 1.04E+02
44.349944	 1.04E+02
44.449944	 1.04E+02
44.549944	 1.04E+02
44.649944	 1.04E+02
44.749944	 1.04E+02
44.849944	 1.04E+02
44.949944	 1.04E+02
45.049944	 1.04E+02
45.149944	 1.04E+02
45.249944	 1.04E+02
45.349944	 1.04E+02
45.449944	 1.04E+02
45.549944	 1.04E+02
45.649944	 1.04E+02
45.749944	 1.04E+02
45.849944	 1.04E+02
45.949944	 1.04E+02
46.049944	 1.04E+02
46.149944	 1.04E+02
46.249944	 1.04E+02
46.349944	 1.04E+02
46.449944	 1.04E+02
46.549944	 1.04E+02
46.649944	 1.04E+02
46.749944	 1.04E+02
46.849944	 1.04E+02
46.949944	 1.04E+02
47.049944	 1.04E+02
47.149944	 1.04E+02
47.249944	 1.04E+02
47.349944	 1.04E+02
47.449944	 1.04E+02
47.549944	 1.04E+02
47.649944	 1.04E+02
47.749944	 1.04E+02
47.849944	 1.04E+02
47.949944	 1.04E+02
48.049944	 1.04E+02
48.149944	 1.04E+02
48.249944	 1.04E+02
48.349944	 1.04E+02
48.449944	 1.04E+02
48.549944	 1.04E+02
48.649944	 1.04E+02
48.749944	 1.04E+02
48.849944	 1.04E+02
48.949944	 1.04E+02
49.049944	 1.04E+02
49.149944	 1.04E+02
49.249944	 1.04E+02
49.349944	 1.04E+02
49.449944	 1.04E+02
49.549944	 1.04E+02
49.649944	 1.04E+02
49.749944	 1.04E+02
49.849944	 1.04E+02
49.949944	 1.04E+02
50.049944	 1.56E+02
50.149944	 1.56E+02
50.249944	 1.56E+02
50.349944	 1.56E+02
50.449944	 1.56E+02
50.549944	 1.56E+02
50.649944	 1.56E+02
50.749944	 1.56E+02
50.849944	 1.56E+02
50.949944	 1.56E+02
51.049944	 1.56E+02
51.149944	 1.56E+02
51.249944	 1.56E+02
51.349944	 1.56E+02
51.449944	 1.56E+02
51.549944	 1.56E+02
51.649944	 1.56E+02
51.749944	 1.56E+02
51.849944	 1.56E+02
51.949944	 1.56E+02
52.049944	 1.56E+02
52.149944	 1.56E+02
52.249944	 1.56E+02
52.349944	 1.56E+02
52.449944	 1.56E+02
52.549944	 1.56E+02
52.649944	 1.56E+02
52.749944	 1.56E+02
52.849944	 1.56E+02
52.949944	 1.56E+02
53.049944	 1.56E+02
53.149944	 1.56E+02
53.249944	 1.56E+02
53.349944	 1.56E+02
53.449944	 1.56E+02
53.549944	 1.56E+02
53.649944	 1.56E+02
53.749944	 1.56E+02
53.849944	 1.56E+02
53.949944	 1.56E+02
54.049944	 1.56E+02
54.149944	 1.56E+02
54.249944	 1.56E+02
54.349944	 1.56E+02
54.449944	 1.56E+02
54.549944	 1.56E+02
54.649944	 1.56E+02
54.749944	 1.56E+02
54.849944	 1.56E+02
54.949944	 1.56E+02
55.049944	 1.56E+02
55.149944	 1.56E+02
55.249944	 1.56E+02
55.349944	 1.56E+02
55.449944	 1.56E+02
55.549944	 1.56E+02
55.649944	 1.56E+02
55.749944	 1.56E+02
55.849944	 1.56E+02
55.949944	 1.56E+02
56.049944	 1.56E+02
56.149944	 1.56E+02
56.249944	 1.56E+02
56.349944	 1.56E+02
56.449944	 1.56E+02
56.549944	 1.56E+02
56.649944	 1.56E+02
56.749944	 1.56E+02
56.849944	 1.56E+02
56.949944	 1.56E+02
57.049944	 1.56E+02
57.149944	 1.56E+02
57.249944	 1.56E+02
57.349944	 1.56E+02
57.449944	 1.56E+02
57.549944	 1.56E+02
57.649944	 1.56E+02
57.749944	 1.56E+02
57.849944	 1.56E+02
57.949944	 1.56E+02
58.049944	 1.56E+02
58.149944	 1.56E+02
58.249944	 1.56E+02
58.349944	 1.56E+02
58.449944	 1.56E+02
