# ERROR | PUMAS | Information for layer 1 is missing. Reduce the number of layers or add this information.
# WARNING | GENERATOR | Too many electrons per pixel (up to 8.34e+04) detected in the 1.00-2.35 um spectral range. Reduce exposure time per frame to less than 35.965 seconds.
# ------------------------------------------------------------------------
# Radiance spectrum
# NASA-GSFC Planetary Spectrum Generator (PSG) (Villanueva et al. 2018, 2022)
# Synthesized on Thu Mar 27 10:41:43 2025
# Doppler velocities [km/s] (vobs,vrot+vorb,vwidth,vrfl,vstr): 29.00000,-0.00000,0.03000,0.00000,-0.00000
# Spectral unit: Wavelength [um]
# Radiance unit: Contrast [transit atmospheric thickness, km]
# Wave/freq Total Noise Stellar Object Reflected Thermal Transit
1.043504445e+00  3.4413487e-10  5.85418e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.043890928e+00 -3.4413487e-10  5.83545e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.044277554e+00  2.9658992e-10  5.84836e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.044664324e+00  3.4866296e-10  5.82381e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.045051236e+00  6.7921356e-12  5.84655e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.045438292e+00 -2.8753374e-10  5.84016e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.045825492e+00 -1.8112362e-11  5.83818e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.046212835e+00  1.3584271e-11  5.85865e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.046600321e+00 -1.7659553e-10  5.82907e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.046987950e+00  1.5395507e-10  5.82837e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.047375724e+00 -2.4904497e-11  5.87447e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.047763641e+00 -1.1320226e-10  5.83165e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.048151701e+00 -1.5395507e-10  5.82380e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.048539906e+00 -1.1999440e-10  5.83216e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.048928254e+00 -2.4904497e-11  5.86332e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.049316746e+00 -1.1320226e-11  5.82700e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.049705382e+00  2.7168542e-11  5.82659e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.050094161e+00  4.5280904e-11  6.01203e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.050483085e+00  8.3769672e-11  5.82646e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.050872153e+00  1.8112362e-11  5.80959e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.051261365e+00 -1.2678653e-10  5.83614e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.051650721e+00 -1.7885957e-10  5.82703e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.052040221e+00 -1.1999440e-10  5.84494e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.052429866e+00  1.3357867e-10  5.80496e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.052819655e+00 -4.5280904e-12  5.81815e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.053209588e+00  1.5848316e-11  5.81866e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.053599665e+00  4.5280904e-11  5.83644e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.053989887e+00  1.2905058e-10  5.80916e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.054380254e+00 -1.8112362e-11  5.79459e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.054770765e+00 -6.5657311e-11  5.79430e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.055161421e+00 -3.1696633e-11  5.79758e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.055552222e+00 -3.8488768e-11  5.82065e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.055943167e+00  6.3393266e-11  5.80182e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.056334257e+00  1.1093821e-10  5.78939e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.056725492e+00 -2.2640452e-12  5.78828e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.057116872e+00 -1.1546631e-10  5.82136e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.057508396e+00 -3.8488768e-11  5.81943e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.057900066e+00 -9.7353944e-11  5.80037e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.058291881e+00  1.2225844e-10  5.79066e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.058683841e+00 -1.2678653e-10  5.94104e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.059075946e+00 -1.8112362e-11  5.82536e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
